ID,HOF_S(kJ/mol),Density(g/cm^3),BDE(kJ/mol),DetoD(m/s),DetoP(GPa),SMILES
JOWWIB,163.5,1.8189,285.1,8075,29.7,[O-][N+](=O)c1n[nH]c(n1)N
JOYRAQ,76.5,1.3995,288.5,4470,7.7,C=CCn1c(nc2c(c1=O)cccn2)c1ccc(cc1)[N+](=O)[O-]
JUBCOY,197.9,1.5661,267.4,5827,14.1,[O-][N+](=O)c1cccnc1c1ncccc1[N+](=O)[O-]
JUFKIE,277.1,1.4557,312.3,5499,11.9,[O-][N+](=O)C1=C[N-][C@]2(C(=C1)[N+](=O)[O-])N(C)C1=CC=CC=CC1=[N+]2C
JUFLAX,-308.7,1.5473,258.8,4743,9.2,O=C(c1ccc(cc1[N+](=O)[O-])[N+](=O)[O-])Oc1ccc2c3c1C(=O)C=Cc3ccc2
JULGUS,225.4,1.3654,260,4971,9.3,C/C(=N\N=C(\c1ccccc1[N+](=O)[O-])/C)/c1ccccc1[N+](=O)[O-]
JULHAZ,210.3,1.3724,267.7,4971,9.3,C/C(=N/N=C(/c1ccccc1[N+](=O)[O-])\C)/c1ccccc1[N+](=O)[O-]
JULHED,316.9,1.4507,269.4,5250,10.8,[O-][N+](=O)c1ccccc1/C=N/N=C/c1ccccc1[N+](=O)[O-]
JULWAO20,-12.8,1.3877,289.6,4489,7.7,[O-][N+](=O)c1ccc(cc1)/N=N/C1(C)C(=O)c2c(C1=O)cccc2
JUMFAA,-170.6,1.5485,170,6955,19.9,CC(=O)N1CC(C1)([N+](=O)[O-])[N+](=O)[O-]
JUNBEB,450.4,1.9461,248.7,8769,36.4,[O-][N+](=O)c1nnc2n(c1N)nc(c2[N+](=O)[O-])[N+](=O)[O-]
JUPRIV,27.6,1.608,238.5,6894,20,[O-][N+](=O)c1cc(cc(c1N(C)C)[N+](=O)[O-])[N+](=O)[O-]
JUPROB,14.9,1.643,238.9,7129,21.7,CNc1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]
JUPSES,-114,1.7101,246.9,7419,24.1,COc1c(cc(c(c1[N+](=O)[O-])N)[N+](=O)[O-])[N+](=O)[O-]
