ID,Formula,Density,OB2,Mass,Volume,Ro(g/cm^3),Area,PosArea,NegArea,Ave,PosAve,NegAve,Sigma2,PosSigma2,NegSigma2,Nu,NuSigma2,Pi,MPI,NonPolarArea,PolarArea,Sphericity,HSub,Dipole
ske_56_17_5,C3N8O4,1.875465555,,212.00425,185.45828,1.8989,192.55338,94.10301,98.45037,5.56565,21.33525,-9.50759,242.30371,217.0916,25.21211,0.09322494,22.58875,15.94532,15.28791,80.84,111.71,0.8168,86.60109054,0.594025247
ske_56_18_5,C3N8O4,1.886217844,,212.00425,184.72062,1.9065,192.87739,97.12466,95.75273,5.65892,21.29075,-10.19687,251.30934,224.53395,26.77538,0.095192,23.92264,16.32111,15.78326,72.8,120.07,0.8132,87.69500157,0.439044154
ske_56_19_5,C3N8O4,1.883254967,,212.00425,184.67962,1.9069,192.7196,94.72071,97.9989,5.74142,22.05449,-10.02594,252.93488,228.20441,24.73047,0.0882143,22.31247,16.56993,15.93791,72.83,119.89,0.8138,86.47141105,0.291569854
ske_56_1_65,C5N8O8,1.940586489,,299.98391,252.50155,1.9736,245.344,120.89463,124.44937,6.40108,20.94073,-7.72327,247.54985,229.90881,17.64104,0.06618422,16.38389,15.14747,14.23625,125.79,119.55,0.7874,107.5478678,0.817990346
ske_56_1_66,C5H2N8O6,1.916383048,-29.6285619,270.00973,236.61413,1.8957,229.59093,111.66372,117.92721,3.66762,23.1436,-14.77393,268.13645,213.22279,54.91365,0.16285544,43.66748,19.11232,18.8446,58.42,171.17,0.8058,116.8625705,3.289024688
ske_56_1_67,C5H2N8O6,1.885893815,-29.6285619,270.00973,235.92102,1.9012,230.52609,118.79386,111.73223,6.08332,22.65434,-11.53502,193.75796,162.21375,31.54421,0.1362976,26.40875,17.54961,17.26499,68.68,161.84,0.801,107.2046152,1.348019077
ske_56_1_68,C5H2N8O6,1.88798179,-29.6285619,270.00973,237.02993,1.8924,230.91498,124.24264,106.67234,5.85829,20.64247,-11.36104,194.78502,154.78284,40.00218,0.16319069,31.7871,16.43511,16.35487,79.99,150.93,0.8021,110.8488367,1.246086273
ske_56_1_69,C5H2N8O6,1.888013323,-29.6285619,270.00973,236.57403,1.896,228.83621,109.33403,119.50218,3.72251,22.42119,-13.38515,204.68781,168.16087,36.52694,0.14660685,30.00863,18.0113,17.70242,55.92,172.92,0.8084,108.6776403,2.60815259
ske_56_1_70,C5H4N8O4,1.79913015,-53.3254345,240.03555,223.56113,1.7837,219.11658,112.05344,107.06314,3.10539,21.96622,-16.63457,252.99334,196.94724,56.0461,0.17245554,43.6301,19.39104,19.36111,49.27,169.84,0.813,111.5951471,3.480345072
ske_56_1_72,C5H4N8O4,1.821564778,-53.3254345,240.03555,222.46084,1.7925,217.64761,118.09487,99.55275,4.98131,23.73707,-17.2678,266.86101,200.35994,66.50107,0.18709806,49.92918,20.60207,20.778,43.97,173.68,0.8158,114.0582273,2.712721876
ske_56_1_73,C5H4N8O4,1.836484643,-53.3254345,240.03555,220.9986,1.8043,213.63512,113.30236,100.33276,1.72945,17.89182,-16.52216,227.86456,150.32048,77.54408,0.22449839,51.15523,17.18401,17.24856,60.45,153.18,0.8274,112.7209869,1.428535726
ske_56_20_5,C3N8O4,1.881032748,,212.00425,185.1965,1.9016,192.3233,93.86594,98.45736,5.77444,21.36711,-9.09109,255.04151,228.35432,26.68719,0.09368936,23.89468,15.80199,15.08257,85.61,106.71,0.817,87.43695068,0.513103576
ske_56_21_19,C4N8O6,1.916336773,,255.99408,218.91913,1.9425,219.73918,107.31514,112.42404,6.28455,21.75861,-8.48633,264.98643,242.79845,22.18799,0.0767214,20.33013,15.85748,14.96818,101.26,118.48,0.7994,97.43358804,0.28037617
ske_56_22_19,C4N8O6,1.907062736,,255.99408,219.41987,1.9381,223.65972,106.8504,116.80931,6.4595,23.28294,-8.92962,265.66086,246.11714,19.54372,0.06815441,18.10596,16.70307,15.78672,95.92,127.74,0.7866,97.62335115,0.225384634
ske_56_23_19,C4N8O6,1.925393843,,255.99408,218.5731,1.9456,220.69399,109.34245,111.35153,6.47115,21.90288,-8.68215,276.1976,250.75532,25.44228,0.08363083,23.09863,16.05819,15.23234,103,117.69,0.7951,99.9540878,0.199303763
